fullname,abbr_ang,abbr_pol
Absolutna temperatura maksymalna [°C],tmax_abs,
Absolutna temperatura minimalna [°C],tmin_abs,
Aktynometria [J/cm2],irrad,
Charakterystyka tendencji [kod],press_tend,
Chmury CH [kod],cl_CH_code,
Chmury CH tekstem,Cl_CH,
Chmury CL [kod],cl_CL_code,
Chmury CL tekstem,cl_CH,
Chmury CM [kod],cl_CM_code,
Chmury CM tekstem,cl_CM,
Ciężar próbki [g],sample_weight,
Ciśnienie na pozimie morza [hPa],slp,
Ciśnienie na pozimie stacji [hPa],press,
Ciśnienie pary wodnej [hPa],vapor_press,
Czas trwania burzy [godziny],thunderstorm_hours,
Czas trwania gołoledzi [godziny],glaze_hours,
Czas trwania gradu [godziny],hail_hours,
Czas trwania mgły [godziny],fog_hours,
Czas trwania opadu deszczu [godziny],rain_hours,
Czas trwania opadu deszczu ze śniegiem [godziny],r_s_hours,
Czas trwania opadu śniegu [godziny],snow_hours,
Czas trwania rosy [godziny],dew_hours,
Czas trwania sadzi [godziny],rime_hours,
Czas trwania szronu [godziny],hoarfrost_hours,
Czas trwania wiatru >=10m/s [godziny],ws_10ms_hours,
Czas trwania wiatru >15m/s [godziny],ws_15ms_hours,
Czas trwania zamglenia [godziny],fogginess_hours,
Czas trwania zamieci śnieżnej niskiej [godziny],snowstorm_low_hours,
Czas trwania zamieci śnieżnej wysokiej [godziny],snowstorm_high_hours,
Czas trwania zmętnienia [godziny],hazyness_hours,
Dzień,day,
Dzień ostatni wystąpienia opadu maksymalnego,last_day_max_rr,
Dzień pierwszy wystąpienia opadu maksymalnego,first_day_max_rr,
Gatunek śniegu [kod],snow_type,
Godzina,hour,
Godzina wystąpienia porywu,gust_hour,
Izoterma dolna [cm],lower_isotherm,
Izoterma górna [cm],upper_isotherm,
Kierunek wiatru [°],wd,
Kod kierunku wiatru [kod],wd_code,
Kod stacji,id,
Liczba dni z burzą,thunder_days,
Liczba dni z gołoledzią,glaze_days,
Liczba dni z gradem,hail_days,
Liczba dni z mgłą,fog_days,
Liczba dni z opadem deszczu,rain_days,
Liczba dni z opadem deszczu ze śniegiem,r_s_days,
Liczba dni z opadem śniegu,snow_days,
Liczba dni z pokrywą śnieżną,snowcover_days,
Liczba dni z rosą,dew_days,
Liczba dni z sadzią,rime_days,
Liczba dni z wiatrem >= 10m/s,ws_10ms_days,
Liczba dni z wiatrem >15m/s,ws_15ms_days,
Liczba dni z zamgleniem,fogginess_days,
Liczba dni z zamiecią śnieżną niską,snowstorm_low_days,
Liczba dni z zamiecią śnieżną wysoką,snowstorm_high_days,
Liczba dni ze szronem,hoarfrost_days,
Liczba dni ze zmętnieniem,hazyness_days,
Maksymalna dobowa suma opadów [mm],rr_max_daily,
Maksymalna temperatura dobowa [°C],t2m_max_daily,
Maksymalna wysokość pokrywy śnieżnej [cm],snowcover_max,
Miesiąc,mm,
Miesięczna suma opadów [mm],rr_monthly,
Miesięczna suma usłonecznienia [godziny],insolation_monthly,
Minimalna temperatura dobowa [°C],t2m_min_daily,
Minimalna temperatura przy gruncie [°C],t5cm_min,
Minuta wystąpienia porywu,gust_minute,
Nazwa stacji,station,
Niedosyt wilgotności [hPa},vapor_press_deficit,
Opad maksymalny [mm],rr_max,
Opad za 6 godzin [mm],rr_6h,
Ostatni dzień wystąpienia opadu maksymalnego,last_day_max_rr,
Pierwszy dzień wystąpienia opadu maksymalnego,first_day_max_rr,
Pogoda bieżąca [kod],curr_weather,
Pogoda ubiegła [kod],past_weather,
Pomiar przyrzadem 1 (niższa) [P],measur1,
Pomiar przyrzadem 2 (wyższa) [P],measur2,
Poryw maksymalny za okres WW [m/s],gust_WW,
Poryw wiatru [m/s],gust,
Prędkość wiatru [m/s],ws,
Rodzaj opadu [S/W/ ],rr_type,
Rodzaj opadu za 6 godzin [kod],rr_type_6h,
Rodzaj pokrywy śnieżnej [kod],snowcover_type,
Rok,yy,
Równoważnik wodny śniegu [mm/cm],snow_water_equivalent,
Średnia dobowa prędkość wiatru [m/s],ws_daily_mean,
Średnia dobowa temperatura [°C],t2m_daily_mean,
Średnia dobowa wilgotność względna [%],rh_daily_mean,
Średnia dobowe ciśnienie na poziomie stacji [hPa],press_daily_mean,
Średnia dobowe ciśnienie pary wodnej [hPa],vapor_press_daily_mean,
Średnia miesięczna prędkość wiatru [m/s],ws_mon_mean,
Średnia miesięczna temperatura [°C],t2m_mon_mean,
Średnia miesięczna wilgotność względna [%],rh_mon_mean,
Średnia temperatura dobowa [°C],t2m_daily_mean,
Średnia temperatura maksymalna [°C],tmax_mean,
Średnia temperatura miesięczna [°C],t2m_mon_mean,
Średnia temperatura minimalna [°C],tmin_mean,
Średnie dobowe ciśnienie na pozimie morza [hPa],slp_daily_mean,
Średnie dobowe zachmurzenie ogólne [oktanty],cloud_daily_mean,
Średnie miesięczne ciśnienie na pozimie morza [hPa],slp_mon_mean,
Średnie miesięczne ciśnienie na poziomie stacji [hPa],press_mon_mean,
Średnie miesięczne ciśnienie pary wodnej [hPa],vapor_press_mon_mean,
Średnie miesięczne zachmurzenie ogólne [oktanty],cloud_mon_mean,
Stan gruntu [kod],soil_state_code,
Stan gruntu [Z/R],soil_state,
Status pomiaru AKTN,StatusAKTN,
Status pomiaru APP,StatusAPP,
Status pomiaru BRZA,StatusBRZA,
Status pomiaru BURD,StatusBURD,
Status pomiaru CHCH,StatusCHCH,
Status pomiaru CHCL,StatusCHCL,
Status pomiaru CHCM,StatusCHCM,
Status pomiaru CIPR,StatusCIPR,
Status pomiaru CLCM,StatusCLCM,
Status pomiaru CPW,StatusCPW,
Status pomiaru DEFI,StatusDEFI,
Status pomiaru DESD,StatusDESD,
Status pomiaru DESZ,StatusDESZ,
Status pomiaru DISN,StatusDISN,
Status pomiaru DKDK,StatusDKDK,
Status pomiaru DSND,StatusDSND,
Status pomiaru DZBL,StatusDZBL,
Status pomiaru DZPS,StatusDZPS,
Status pomiaru FF10,StatusFF10,
Status pomiaru FF15,StatusFF15,
Status pomiaru FWR,StatusFWR,
Status pomiaru FWS,StatusFWS,
Status pomiaru GATS,StatusGATS,
Status pomiaru GOLD,StatusGOLD,
Status pomiaru GOLO,StatusGOLO,
Status pomiaru GRAD,StatusGRAD,
Status pomiaru GRDD,StatusGRDD,
Status pomiaru GRSN,StatusGRSN,
Status pomiaru HPOD,StatusHPOD,
Status pomiaru HPON,StatusHPON,
Status pomiaru HPOW,StatusHPOW,
Status pomiaru HPRO,StatusHPRO,
Status pomiaru HSS,StatusHSS,
Status pomiaru IZD,StatusIZD,
Status pomiaru IZG,StatusIZG,
Status pomiaru KRWR,StatusKRWR,
Status pomiaru LDPS,StatusLDPS,
Status pomiaru LDS,StatusLDS,
Status pomiaru MAXO,StatusMAXO,
Status pomiaru MGLA,StatusMGLA,
Status pomiaru MGLD,StatusMGLD,
Status pomiaru NOG,StatusNOG,
Status pomiaru NOS,StatusNOS,
Status pomiaru OPMX,StatusOPMX,
Status pomiaru PKSN,StatusPKSN,
Status pomiaru PORK,StatusPORK,
Status pomiaru PORW,StatusPORW,
Status pomiaru PPPM,StatusPPPM,
Status pomiaru PPPS,StatusPPPS,
Status pomiaru PSDN,StatusPSDN,
Status pomiaru ROPT,StatusROPT,
Status pomiaru ROSA,StatusROSA,
Status pomiaru ROSD,StatusROSD,
Status pomiaru ROSW,StatusROSW,
Status pomiaru RPSN,StatusRPSN,
Status pomiaru RWSN,StatusRWSN,
Status pomiaru SADD,StatusSADD,
Status pomiaru SADZ,StatusSADZ,
Status pomiaru SGRN,StatusSGRN,
Status pomiaru SMDB,StatusSMDB,
Status pomiaru SNEG,StatusSNEG,
Status pomiaru SNID,StatusSNID,
Status pomiaru STD,StatusSTD,
Status pomiaru STM,StatusSTM,
Status pomiaru SUMM,StatusSUMM,
Status pomiaru SUUS,StatusSUUS,
Status pomiaru SZRD,StatusSZRD,
Status pomiaru SZRO,StatusSZRO,
Status pomiaru TEMP,StatusTEMP,
Status pomiaru TG05,StatusTG05,
Status pomiaru TG10,StatusTG10,
Status pomiaru TG100,StatusTG100,
Status pomiaru TG20,StatusTG20,
Status pomiaru TG50,StatusTG50,
