"id","station"
"349190625","ZAKOPANE"
"349190650","KASPROWY WIERCH"
"349200660","NOWY S•CZ"
"349210670","KROSNO"
"349220695","PRZEMYåL"
"349220690","LESKO"
"350200570","KIELCE-SUK”W"
"350190566","KRAK”W-BALICE"
"350220580","RZESZ”W-JASIONKA"
"350210585","SANDOMIERZ"
"350200575","TARN”W"
"349190600","BIELSKO-BIA£A"
"350190550","CZ STOCHOWA"
"350190560","KATOWICE"
"350180540","RACIB”RZ"
"351160415","LEGNICA"
"351160418","LESZNO"
"351160424","WROC£AW"
"351150405","ZGORZELEC"
"351150400","ZIELONA G”RA"
"350150500","JELENIA G”RA"
"350160520","K£ODZKO"
"350170530","OPOLE"
"350150510","åNIEØKA"
"353200270","M£AWA"
"352190360","P£OCK"
"352220385","SIEDLCE"
"352230399","TERESPOL"
"352200375","WARSZAWA"
"351210488","KOZIENICE"
"351220495","LUBLIN-RADAWIEC"
"351190465","£”Dè"
"351190469","SULEJ”W"
"351230497","W£ODAWA"
"350230595","ZAMOå∆"
"353160230","PI£A"
"353160215","SZCZECINEK"
"352150300","GORZ”W WIELKOPOLSKI"
"352180345","KO£O"
"352160330","POZNA—"
"352140310","S£UBICE"
"351180435","KALISZ"
"351180455","WIELU—"
"354180135","HEL"
"354150100","KO£OBRZEG"
"354160105","KOSZALIN"
"354170125","L BORK"
"354170120","£EBA"
"354160115","USTKA"
"353170235","CHOJNICE"
"353150210","RESKO-SM”LSKO"
"353140205","SZCZECIN"
"353140200","åWINOUJåCIE"
"353180250","TORU—"
"354180155","GDA—SK-åWIBNO"
"354190160","ELBL•G-MILEJEWO"
"354210185","K TRZYN"
"354220195","SUWA£KI"
"353210280","MIKO£AJKI"
"353200272","OLSZTYN"
"353210285","OSTRO£ KA"
"353230295","BIA£YSTOK"
"354180131","ØARNOWIEC"
"354180140","GDA—SK-PORT P”£NOCNY"
"353170240","BYDGOSZCZ"
"354180150","GDA—SK-R BIECHOWO"
