
Kod stacji                                      9
Nazwa stacji                                   30
Rok                                             4
Miesi¹c                                         2
Dzieñ                                           2
Godzina                                         2
Wysokoœæ podstawy chmur CL CM szyfrowana        1
Status pomiaru HPOD                             1
Wysokoœæ podstawy ni¿szej                       7
Status pomiaru HPON                             1
Wysokoœæ podstawy wy¿szej                       7
Status pomiaru HPOW                             1
Wysokoœæ podstawy tekstowy                     10
Pomiar przyrzadem 1 (ni¿sza)                    1
Pomiar przyrzadem 2 (wy¿sza)                    1
Widzialnoœæ                                     5
Status pomiaru WID                              1
Widzialnoœæ operatora                           7
Status pomiaru WIDO                             1
Widzialnoœæ automat                             7
Status pomiaru WIDA                             1
Zachmurzenie ogólne                             3
Status pomiaru NOG                              1
Kierunek wiatru                                 5
Status pomiaru KRWR                             1
Prêdkoœæ wiatru                                 5
Status pomiaru FWR                              1
Poryw wiatru                                    5
Status pomiaru PORW                             1
Temperatura powietrza                           6/1
Status pomiaru TEMP                             1
Temperatura termometru zwil¿onego               6/1
Status pomiaru TTZW                             1
WskaŸnik wentylacji                             1
WskaŸnik lodu                                   1
Ciœnienie pary wodnej                           6/1
Status pomiaru CPW                              1
Wilgotnoœæ wzglêdna                             5
Status pomiaru WLGW                             1
Temperatura punktu rosy                         6/1
Status pomiaru TPTR                             1
Ciœnienie na pozimie stacji                     8/1
Status pomiaru PPPS                             1
Ciœnienie na pozimie morza                      8/1
Status pomiaru PPPM                             1
Charakterystyka tendencji                       3
Wartoœæ tendencji                               6/1
Status pomiaru APP                              1
Opad za 6 godzin                                8/1
Status pomiaru WO6G                             1
Rodzaj opadu za 6 godzin                        3
Status pomiaru ROPT                             1
Pogoda bie¿¹ca                                  2
Pogoda ubieg³a                                  1
Zachmurzenie niskie                             1
Status pomiaru CLCM                             1
Chmury CL                                       1
Status pomiaru CHCL                             1
Chmury CL tekstem                              40
Chmury CM                                       1
Status pomiaru CHCM                             1
Chmury CM tekstem                              20
Chmury CH                                       1
Status pomiaru CHCH                             1
Chmury CH tekstem                              20
Stan gruntu                                     5
Status pomiaru SGRN                             1
Niedosyt wilgotnoœci                            6/1
Status pomiaru DEFI                             1
Us³onecznienie                                  6/1
Status pomiaru USLN                             1
Wyst¹pienie rosy                                1
Status pomiaru ROSW                             1
Poryw maksymalny za okres WW                    5
Status pomiaru PORK                             1
Godzina wyst¹pienia porywu                      2
Minuta wyst¹pienia porywu                       2
Temperatura gruntu -5                           6/1
Status pomiaru TG05                             1
Temperatura gruntu -10                          6/1
Status pomiaru TG10                             1
Temperatura gruntu -20                          6/1
Status pomiaru TG20                             1
Temperatura gruntu -50                          6/1
Status pomiaru TG50                             1
Temperatura gruntu -100                         6/1
Status pomiaru TG100                            1
Temperatura minimalna za 12 godzin              6/1
Status pomiaru TMIN                             1
Temperatura maksymalna za 12 godzin             6/1
Status pomiaru TMAX                             1
Temperatura minimalna przy gruncie za 12 godzin 6/1
Status pomiaru TGMI                             1
Równowa¿nik wodny œniegu                        6/1
Status pomiaru RWSN                             1
Wysokoœæ pokrywy œnie¿nej                       5
Status pomiaru PKSN                             1
Wysokoœæ œwierzo spad³ego œniegu                5
Status pomiaru HSS                              1
Wysokoœæ œniegu na poletku                      5
Status pomiaru GRSN                             1
Gatunek œniegu                                  1
Ukszta³towanie pokrywy                          1
Wysokoœæ próbki                                 5
Status pomiaru HPRO                             1
Ciê¿ar próbki                                   5
Status pomiaru CIPR                             1
